FvFm	1:ETR	Treatment	Rack	sampling_day
0.466	4235.6	control	C2	5
0.24	1705	control	C2	5
0.299	1851.9	control	C2	5
0.296	1799.2	control	C2	5
0.421	3825	shade	S1	5
0.223	1604.8	shade	S1	5
0.401	3392.3	shade	S1	5
0.571	5189.7	shade	S1	5
0.478	4344.4	shade	S1	5
0.538	4888.4	shade	S1	5
0.528	4799.3	shade	S1	5
0.201	1825.6	control	C1	5
0.244	2080	control	C1	5
0.081	711.3	control	C1	5
0.28	2542.2	control	C1	5
0.374	3395.9	control	C1	5
0.191	1734	control	C1	5
0.248	2252.4	control	C1	5
0.311	2823.4	control	C1	5
0.366	3322.4	control	C1	5
0.637	2156.1	shade	S2	5
0.599	2111	shade	S2	5
0.519	2398.7	shade	S2	5
0.462	2881.7	shade	S2	5
0.238	1698.8	shade	S2	5
0.572	4788.2	shade	S2	5
0.578	3914.3	shade	S2	5
0.369	2648.3	shade	S2	5
0.48	3203	shade	S2	5
0.172	1566.2	control	C3	6
0.242	2206	control	C3	6
0.271	2351.9	control	C3	6
0.23	2094.2	control	C3	6
0.13	1181.8	control	C3	6
0.237	2162.3	control	C3	6
0.286	2606.8	control	C3	6
0.166	1512.1	control	C3	6
0.522	4752.5	control	C3	6
0.581	5290.4	shade	S3	6
0.311	2829.2	shade	S3	6
0.437	3975.8	shade	S3	6
0.27	2456	shade	S3	6
0.54	4911.6	shade	S3	6
0.323	2938.8	shade	S3	6
0.377	3433.6	shade	S3	6
0.291	2645.3	shade	S3	6
0.454	4131.1	shade	S3	6
0.107	972.9	control	C1	6
0.196	1782.7	control	C1	6
0.087	791	control	C1	6
0.292	2651.4	control	C1	6
0.538	4890.2	control	C1	6
0.2	1818.7	control	C1	6
0.346	3146.3	control	C1	6
0.22	2000.6	control	C1	6
0.244	2218.1	control	C1	6
0.523	4750.6	shade	S2	6
0.453	4111.9	shade	S2	6
0.515	4673.8	shade	S2	6
0.234	2122.6	shade	S2	6
0.316	2872.6	shade	S2	6
0.545	4949.5	shade	S2	6
0.625	5672.6	shade	S2	6
0.272	2469	shade	S2	6
0.599	5444.2	shade	S2	6
0.061	556.2	control	C1	7
0.469	4276.8	control	C1	7
0.318	2661.3	control	C1	7
0.436	3973.3	control	C1	7
0.461	4202.5	control	C1	7
0.385	3508.9	control	C1	7
0.362	3298.4	control	C1	7
0.512	4664.4	control	C1	7
0.245	2229.3	control	C1	7
0.208	1893	control	C1	7
0.357	3248	control	C2	7
0.262	2383.2	control	C2	7
0.36	3268.3	control	C2	7
0.364	3303.6	control	C2	7
0.327	2974.9	control	C2	7
0.525	4770.3	control	C2	7
0.264	2392.9	control	C2	7
0.406	3685.6	control	C2	7
0.29	2632.2	control	C2	7
0.352	3196.6	control	C3	7
0.264	2399.8	control	C3	7
0.247	2243.2	control	C3	7
0.356	3232.8	control	C3	7
